Timestamp Report
================

Formato: [Tempo (mm:ss.sss)] - [Unix Time] - [Offset ms] - [Azione]
Unix Time: millisecondi dal 1 gennaio 1970
Offset: millisecondi dall'inizio acquisizione

00:00.000 - 1748522428162 - 0ms - INIZIO_ACQUISIZIONE
01:09.067 - 1748522497229 - 69067ms - INIZIO_CAMMINATA
02:13.310 - 1748522561472 - 133310ms - FINE_CAMMINATA
03:09.571 - 1748522617733 - 189571ms - PASSAGGIO
03:14.069 - 1748522622231 - 194069ms - PASSAGGIO
03:21.202 - 1748522629364 - 201202ms - PASSAGGIO
03:26.760 - 1748522634922 - 206760ms - PASSAGGIO
03:33.927 - 1748522642089 - 213927ms - PASSAGGIO
03:41.056 - 1748522649218 - 221056ms - PASSAGGIO
03:47.375 - 1748522655537 - 227375ms - PASSAGGIO
03:57.233 - 1748522665395 - 237233ms - PASSAGGIO
04:03.249 - 1748522671411 - 243249ms - PASSAGGIO
04:09.065 - 1748522677227 - 249065ms - PASSAGGIO
04:15.816 - 1748522683978 - 255816ms - PASSAGGIO
04:28.479 - 1748522696641 - 268479ms - PASSAGGIO
05:11.596 - 1748522739758 - 311596ms - PASSAGGIO
05:15.961 - 1748522744123 - 315961ms - PASSAGGIO
05:21.260 - 1748522749422 - 321260ms - PASSAGGIO
05:26.209 - 1748522754371 - 326209ms - PASSAGGIO
05:46.240 - 1748522774402 - 346240ms - TIRO
05:59.069 - 1748522787231 - 359069ms - FINE_ACQUISIZIONE

--- Fine Report ---
